2019:08:04 16:00:01,Trip 2019
2019:08:04 18:00:01,Athens
2019:08:07 08:00:01,Corinth
2019:08:07 12:00:01,Mykines
2019:08:07 16:00:01,Nafplion
2019:08:07 18:00:01,Pelofones
2019:08:08 08:00:01,Meteora
2019:08:08 17:00:01,Larissa
2019:08:09 09:00:01,Mount Olympus
2019:08:09 12:30:01,Orlias Waterfall
2019:08:09 14:00:01,Olympus Prionia
2019:08:09 19:00:01,Vergina
2019:08:10 13:00:01,Kastoria
2019:08:10 17:00:01,Edessa
2019:08:10 20:00:01,Thessaloniki
2019:08:11 10:30:01,Halkidiki
2019:08:11 18:30:01,Bianco Olympico Resort
2019:08:12 12:30:01,Halkidiki
2019:08:12 19:00:01,Bianco Olympico Resort
2019:08:13 09:00:01,Athos
2019:08:13 18:00:01,Halkidiki Accident
2019:08:13 20:30:01,Thessaloniki
2019:08:14 20:00:01,EndTrip
